,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
725,Suryoday Small Finance Bank,3.9k,1.2k,Banking - Mumbai +182 other locations,4.2k,79,23,Salary & Benefits,N/A
726,Hinduja Leyland Finance,4.0k,1.2k,NBFC - Chennai +266 other locations,2.5k,39,12,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
727,Vfs Global Services,3.6k,1.2k,IT Services & Consulting - Mumbai +30 other locations,4.2k,65,21,N/A,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
728,Heritage Foods,4.1k,1.2k,"Food Processing - Hyderabad , Secunderabad +114 other locations",3.5k,86,56,"Job Security, Salary & Benefits, Company Culture",N/A
729,Tata AutoComp Systems,3.9k,1.2k,Auto Components - Pune +39 other locations,5.9k,100,38,Job Security,Promotions / Appraisal
730,Tekwissen,4.8k,1.2k,IT Services & Consulting - Visakhapatnam +5 other locations,508,21,250,"Company Culture, Work Life Balance, Work Satisfaction",N/A
731,SAI Life Sciences,4.0k,1.2k,"Clinical Research - Hyderabad , Secunderabad +24 other locations",5.2k,89,43,"Salary & Benefits, Company Culture, Skill Development / Learning",Promotions / Appraisal
732,Kantar,3.5k,1.2k,"Analytics & KPO - Bangalore , Bengaluru +41 other locations",6.2k,106,32,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
733,Apco Infratech,3.7k,1.2k,Engineering & Construction - Lucknow +83 other locations,4k,120,20,N/A,"Company Culture, Job Security, Promotions / Appraisal"
734,Hindware Limited,3.9k,1.2k,"Building Material - Hyderabad , Secunderabad +123 other locations",4.4k,74,2,Work Life Balance,Promotions / Appraisal
735,Karur Vysya Bank,3.6k,1.2k,Banking - Chennai +172 other locations,4.1k,83,62,N/A,"Promotions / Appraisal, Company Culture, Work Life Balance"
736,Infogain,3.6k,1.2k,IT Services & Consulting - Noida +23 other locations,10.7k,129,131,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
737,Jaquar,4.1k,1.2k,"Building Material - Gurgaon , Gurugram +103 other locations",4.5k,66,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
738,Unichem Laboratories,3.8k,1.2k,Pharma - Ghaziabad +73 other locations,4.9k,87,23,Job Security,Promotions / Appraisal
739,Panasonic,4.0k,1.2k,"Consumer Electronics & Appliances - Gurgaon , Gurugram +122 other locations",5k,46,32,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
740,Spicejet,3.6k,1.2k,Aviation - New Delhi +59 other locations,5.1k,92,4,N/A,"Promotions / Appraisal, Salary & Benefits, Job Security"
741,Urban Company,3.4k,1.2k,"Internet - Gurgaon , Gurugram +54 other locations",5.3k,142,32,N/A,"Job Security, Promotions / Appraisal, Work Life Balance"
742,Fabindia,4.0k,1.2k,Retail - New Delhi +82 other locations,4k,54,4,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
743,Slk Software Services,3.2k,1.2k,"IT Services & Consulting - Bangalore , Bengaluru +12 other locations",8.7k,102,118,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
744,Continental Automotive Components,4.1k,1.2k,"Auto Components - Bangalore , Bengaluru +21 other locations",8.6k,75,47,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
745,Pantaloons,4.2k,1.2k,Mumbai +147 other locations,2.9k,61,--,"Job Security, Skill Development / Learning, Company Culture",N/A
746,Aptara,3.2k,1.2k,Content Development - Noida +12 other locations,6.1k,66,11,N/A,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
747,Aditya Birla Finance,3.9k,1.2k,NBFC - Mumbai +190 other locations,5.1k,47,4,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
748,Infra.Market,4.1k,1.2k,Building Material - Mumbai +94 other locations,2.9k,129,11,"Company Culture, Salary & Benefits, Work Life Balance",N/A
749,Sansera Engineering,4.1k,1.2k,"Auto Components - Bangalore , Bengaluru +27 other locations",4.9k,79,61,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
750,Hindustan Construction Company,4.2k,1.2k,Engineering & Construction - Mumbai +87 other locations,3.3k,86,5,"Company Culture, Job Security, Skill Development / Learning",N/A
751,AGS Transact Technologies,3.0k,1.2k,FinTech - Mumbai +113 other locations,4.1k,40,--,N/A,"Promotions / Appraisal, Salary & Benefits, Job Security"
752,Piramal Group,3.8k,1.2k,Financial Services - Mumbai +126 other locations,4k,64,192,Skill Development / Learning,Promotions / Appraisal
753,DCM Shriram,4.2k,1.2k,Chemicals - Bharuch +94 other locations,4.4k,97,2,"Job Security, Company Culture, Work Life Balance",N/A
754,Fino Payments Bank,3.9k,1.2k,Banking - Mumbai +244 other locations,3.9k,54,16,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
755,EOSGlobe,3.0k,1.2k,Mumbai +27 other locations,3.8k,84,25,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
756,Xyz Company,3.8k,1.2k,"Financial Services - Bangalore , Bengaluru +94 other locations",29.2k,477,--,"Company Culture, Work Life Balance, Job Security",N/A
757,Amneal Pharmaceuticals,4.2k,1.2k,Pharma - Ahmedabad +33 other locations,5.4k,71,41,"Work Life Balance, Job Security, Company Culture",N/A
758,FOCUS EDUMATICS,3.0k,1.2k,Coimbatore +39 other locations,2.9k,125,--,N/A,"Job Security, Promotions / Appraisal, Skill Development / Learning"
759,Cinépolis,3.9k,1.2k,Media & Entertainment - New Delhi +59 other locations,2.7k,66,1,"Company Culture, Job Security",Promotions / Appraisal
760,Tata Consumer Products,3.6k,1.2k,"FMCG - Bangalore , Bengaluru +191 other locations",4.9k,74,43,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
761,PHN Technology,4.5k,1.2k,Pune +30 other locations,303,33,3,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
762,Health Care Global Enterprises,4.1k,1.2k,"Healthcare - Bangalore , Bengaluru +47 other locations",2.6k,76,58,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
763,Altimetrik,3.7k,1.2k,"IT Services & Consulting - Bangalore , Bengaluru +15 other locations",9.9k,235,67,"Work Life Balance, Salary & Benefits","Job Security, Promotions / Appraisal"
764,MiraMed Ajuba,3.9k,1.2k,BPO - Chennai +23 other locations,4.3k,58,--,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
765,PNB Housing Finance,3.8k,1.2k,NBFC - New Delhi +138 other locations,4.2k,46,17,N/A,Promotions / Appraisal
766,Atul,3.9k,1.1k,Chemicals - Valsad +61 other locations,4.8k,90,5,"Job Security, Work Life Balance",Promotions / Appraisal
767,VIBGYOR Group of Schools,3.5k,1.2k,"Bangalore , Bengaluru +36 other locations",4k,84,203,N/A,"Job Security, Promotions / Appraisal, Company Culture"
768,Chandigarh University,4.1k,1.2k,Education & Training - Chandigarh +46 other locations,2.5k,92,167,"Work Life Balance, Job Security, Skill Development / Learning",N/A
769,Chetu,3.3k,1.2k,Software Product - Noida +13 other locations,7.5k,190,2,N/A,"Job Security, Company Culture, Work Life Balance"
770,Happiest Minds Technologies,3.6k,1.2k,"IT Services & Consulting - Bangalore , Bengaluru +15 other locations",10.5k,139,51,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
771,Worley,4.1k,1.2k,Engineering & Construction - Mumbai +53 other locations,6.5k,119,139,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
772,Burger King,3.9k,1.2k,Hospitality - New Delhi +103 other locations,3.3k,80,6,"Skill Development / Learning, Salary & Benefits",N/A
773,Piramal Pharma,4.0k,1.1k,Pharma - Mumbai +76 other locations,5.5k,100,202,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
774,Kotak Mahindra Prime,4.0k,1.2k,NBFC - Mumbai +154 other locations,4.3k,56,1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
775,Eaton,3.9k,1.1k,Power - Pune +22 other locations,7.1k,122,--,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
776,BVG India,3.9k,1.1k,Facility Management Services - Pune +106 other locations,3.6k,52,70,Work Life Balance,Promotions / Appraisal
